Feature,Importance
mfcc_1,0.0854145759737587
rms,0.08352287049953626
std,0.07282641629863984
mfcc_11,0.058073475288087456
mfcc_8,0.0506585926830669
zcr,0.049609394160717475
mfcc_9,0.04851057277903398
mfcc_4,0.047587645228561376
mfcc_10,0.04731973267157776
mfcc_13,0.04715838636118849
mfcc_7,0.046867793605415015
mfcc_6,0.04580233370615064
mfcc_2,0.045469843718379324
mfcc_5,0.04431720392034616
peak_frequency,0.04428618824907246
mfcc_3,0.04302960219308512
spectral_rolloff,0.04060589365337161
mfcc_12,0.04020483681584202
spectral_centroid,0.03567237474536493
mean,0.02306226744880462
